Designator,Mid X,Mid Y,Rotation,Layer
C1,64.262,-56.642,0.0,bottom
C10,83.287,-75.692,0.0,bottom
C11,102.337,-75.692,0.0,bottom
C12,121.387,-75.692,0.0,bottom
C13,140.437,-75.692,0.0,bottom
C14,159.487,-75.692,0.0,bottom
C15,178.5635,-75.692,0.0,bottom
C16,197.587,-75.692,0.0,bottom
C17,64.237,-94.742,0.0,bottom
C18,83.287,-94.742,0.0,bottom
C19,102.337,-94.742,0.0,bottom
C2,83.2605,-56.642,0.0,bottom
C20,121.387,-94.742,0.0,bottom
C21,140.437,-94.742,0.0,bottom
C22,159.487,-94.742,0.0,bottom
C23,178.537,-94.742,0.0,bottom
C24,197.587,-94.742,0.0,bottom
C25,64.237,-113.792,0.0,bottom
C26,83.287,-113.792,0.0,bottom
C27,102.337,-113.792,0.0,bottom
C28,121.387,-113.792,0.0,bottom
C29,140.4885,-113.792,0.0,bottom
C3,102.3105,-56.642,0.0,bottom
C30,159.487,-113.792,0.0,bottom
C31,178.537,-113.792,0.0,bottom
C32,197.6385,-113.792,0.0,bottom
C33,224.7635,-60.071,180.0,bottom
C34,224.663,-98.171,180.0,bottom
C35,224.917,-66.294,0.0,bottom
C36,226.822,-74.676,0.0,bottom
C4,121.412,-56.642,0.0,bottom
C5,140.4105,-56.642,0.0,bottom
C6,159.487,-56.642,0.0,bottom
C7,178.5105,-56.642,0.0,bottom
C8,197.5605,-56.642,0.0,bottom
C9,64.237,-75.692,0.0,bottom
D1,183.388,-36.195,180.0,bottom
IC1,219.71,-53.34,90.0,bottom
IC2,219.71,-91.44,90.0,bottom
IC3,229.616,-69.215,270.0,bottom
J1,225.557,-84.0,90.0,top
J2,225.562,-89.0,90.0,top
J3,225.562,-94.0,90.0,top
J4,143.769,-36.576,270.0,bottom
R1,221.996,-97.282,270.0,bottom
R10,222.25,-42.164,90.0,bottom
R11,234.1645,-72.136,0.0,bottom
R12,212.66,-113.8,0.0,bottom
R2,221.996,-59.182,270.0,bottom
R3,73.787,-37.592,90.0,top
R4,233.68,-43.18,90.0,top
R5,227.203,-79.248,180.0,bottom
R6,230.251,-80.772,0.0,bottom
R7,222.885,-48.133,0.0,bottom
R8,222.885,-46.609,0.0,bottom
R9,223.901,-42.164,90.0,bottom
S1,64.516,-37.465,0.0,top
S2,243.11,-37.465,180.0,top
U1,70.206,-52.705,0.0,top
U10,89.256,-71.755,0.0,top
U11,108.306,-71.755,0.0,top
U12,127.356,-71.755,0.0,top
U13,146.406,-71.755,0.0,top
U14,165.456,-71.755,0.0,top
U15,184.506,-71.755,0.0,top
U16,203.556,-71.755,0.0,top
U17,70.206,-90.805,0.0,top
U18,89.256,-90.805,0.0,top
U19,108.306,-90.805,0.0,top
U2,89.256,-52.705,0.0,top
U20,127.356,-90.805,0.0,top
U21,146.406,-90.805,0.0,top
U22,165.456,-90.805,0.0,top
U23,184.506,-90.805,0.0,top
U24,203.556,-90.805,0.0,top
U25,70.206,-109.855,0.0,top
U26,89.256,-109.855,0.0,top
U27,108.306,-109.855,0.0,top
U28,127.356,-109.855,0.0,top
U29,146.406,-109.855,0.0,top
U3,108.306,-52.705,0.0,top
U30,165.456,-109.855,0.0,top
U31,184.506,-109.855,0.0,top
U32,203.556,-109.855,0.0,top
U33,213.76259,-52.77431,0.0,top
U4,127.356,-52.705,0.0,top
U5,146.406,-52.705,0.0,top
U6,165.456,-52.705,0.0,top
U7,184.506,-52.705,0.0,top
U8,203.556,-52.705,0.0,top
U9,70.206,-71.755,0.0,top
